Mitte;9327
Friedrichshain-Kreuzberg;13942
Pankow;3833
Charlottenburg-Wilmersdorf;5166
Spandau;2593
Steglitz-Zehlendorf;2952
Tempelhof-Schöneberg;6499
Neukölln;7301
Treptow-Köpenick;1531
Marzahn-Hellersdorf;4243
Lichtenberg;5369
Reinickendorf;2909
